energy,intensity
40117,0.37800
121781.7,0.28530
344278.5,0.26590
1408013,0.20870
39522,0.20870
45998,0.14850
964057,0.14510
6354,0.14000
1112076,0.13670
778904.5,0.12930
45523,0.11810
1085837,0.10110
244697.4,0.07550
867380,0.04230
46575,0.03050
443960.6,0.02827
411116.5,0.02237
1089737,0.01734
1299142,0.01633
1212948,0.01415
367789.1,0.00859
688670,0.00856
1005270,0.00659
1457643,0.00497
563986,0.00494
678623,0.00473
586264.8,0.00455
295938.7,0.00440
42996,0.00440
919337,0.00419
488679.2,0.00414
810451,0.00317
444010,0.00298
1528100,0.00279
926310,0.00272
719346,0.00250
1084000,0.00245
42308,0.00244
764880,0.00189
1109180,0.00189
1249940,0.00187
49326,0.00176
6858,0.00173
674640,0.00169
841574,0.00168
503467,0.00152
656489,0.00144
963367,0.00140
48802,0.00139
566438,0.00131
329410,0.00121
416020,0.00109
1292780,0.00101
712830,0.00096
719360,0.00095
901190,0.00085
768960,0.00082
930590,0.00073
271080,0.00072
324830,0.00068
251633,0.00067
896590,0.00067
520240,0.00053
511000,0.00051
534250,0.00041
315100,0.00040
1170970,0.00037
49957,0.00037
275420,0.00035
1261350,0.00034
595610,0.00032
990180,0.00031
493540,0.00030
340460,0.00027
794780,0.00026
1363780,0.00026
482330,0.00025
671155,0.00024
675000,0.00021
212430,0.00021
148000,0.00021
686600,0.00020
562980,0.00020
958630,0.00020
556480,0.00018
839360,0.00018
1348100,0.00017
696870,0.00016
523130,0.00015
805710,0.00015
511000,0.00014
974090,0.00014
1206090,0.00013
526880,0.00012
728040,0.00011
351660,0.00011
1084380,0.00011
316130,0.00010
664770,0.00010
